# wavelen objCounts skyAndBiasCounts pixnum
6.711349290844290408e+03 6.220000000000000000e+02 0.000000000000000000e+00 1.610000000000000000e+02
6.711906882854729702e+03 6.205000000000000000e+02 0.000000000000000000e+00 1.620000000000000000e+02
6.712464450700749694e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.630000000000000000e+02
6.713021994346489919e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.640000000000000000e+02
6.713579513756139932e+03 6.195000000000000000e+02 0.000000000000000000e+00 1.650000000000000000e+02
6.714137008893860184e+03 6.195000000000000000e+02 0.000000000000000000e+00 1.660000000000000000e+02
6.714694479723820223e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.670000000000000000e+02
6.715251926210179590e+03 6.210000000000000000e+02 0.000000000000000000e+00 1.680000000000000000e+02
6.715809348317109652e+03 6.195000000000000000e+02 0.000000000000000000e+00 1.690000000000000000e+02
6.716366746008789960e+03 6.205000000000000000e+02 0.000000000000000000e+00 1.700000000000000000e+02
6.716924119249370051e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.710000000000000000e+02
6.717481468003040391e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.720000000000000000e+02
6.718038792233939603e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.730000000000000000e+02
6.718596091906259971e+03 6.215000000000000000e+02 0.000000000000000000e+00 1.740000000000000000e+02
6.719153366984160130e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.750000000000000000e+02
6.719710617431809624e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.760000000000000000e+02
6.720267843213369815e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.770000000000000000e+02
6.720825044293020255e+03 6.215000000000000000e+02 0.000000000000000000e+00 1.780000000000000000e+02
6.721382220634919577e+03 6.230000000000000000e+02 0.000000000000000000e+00 1.790000000000000000e+02
6.721939372203240055e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.800000000000000000e+02
6.722496498962150326e+03 6.205000000000000000e+02 0.000000000000000000e+00 1.810000000000000000e+02
6.723053600875809934e+03 6.220000000000000000e+02 0.000000000000000000e+00 1.820000000000000000e+02
6.723610677908400248e+03 6.210000000000000000e+02 0.000000000000000000e+00 1.830000000000000000e+02
6.724167730024079901e+03 6.215000000000000000e+02 0.000000000000000000e+00 1.840000000000000000e+02
6.724724757187020259e+03 6.210000000000000000e+02 0.000000000000000000e+00 1.850000000000000000e+02
6.725281759361379954e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.860000000000000000e+02
6.725838736511340358e+03 6.210000000000000000e+02 0.000000000000000000e+00 1.870000000000000000e+02
6.726395688601060101e+03 6.210000000000000000e+02 0.000000000000000000e+00 1.880000000000000000e+02
6.726952615594719646e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.890000000000000000e+02
6.727509517456470348e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.900000000000000000e+02
6.728066394150489941e+03 6.195000000000000000e+02 0.000000000000000000e+00 1.910000000000000000e+02
6.728623245640949790e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.920000000000000000e+02
6.729180071892000342e+03 6.210000000000000000e+02 0.000000000000000000e+00 1.930000000000000000e+02
6.729736872867830243e+03 6.220000000000000000e+02 0.000000000000000000e+00 1.940000000000000000e+02
6.730293648532599946e+03 6.240000000000000000e+02 0.000000000000000000e+00 1.950000000000000000e+02
6.730850398850469901e+03 6.225000000000000000e+02 0.000000000000000000e+00 1.960000000000000000e+02
6.731407123785609656e+03 6.225000000000000000e+02 0.000000000000000000e+00 1.970000000000000000e+02
6.731963823302199671e+03 6.210000000000000000e+02 0.000000000000000000e+00 1.980000000000000000e+02
6.732520497364400399e+03 6.215000000000000000e+02 0.000000000000000000e+00 1.990000000000000000e+02
6.733077145936369561e+03 6.220000000000000000e+02 0.000000000000000000e+00 2.000000000000000000e+02
6.733633768982290349e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.010000000000000000e+02
6.734190366466329579e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.020000000000000000e+02
6.734746938352640427e+03 6.195000000000000000e+02 0.000000000000000000e+00 2.030000000000000000e+02
6.735303484605409722e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.040000000000000000e+02
6.735860005188789728e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.050000000000000000e+02
6.736416500066949993e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.060000000000000000e+02
6.736972969204080073e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.070000000000000000e+02
6.737529412564320410e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.080000000000000000e+02
6.738085830111839641e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.090000000000000000e+02
6.738642221810830051e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.100000000000000000e+02
6.739198587625440268e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.110000000000000000e+02
6.739754927519839839e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.120000000000000000e+02
6.740311241458210134e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.130000000000000000e+02
6.740867529404689776e+03 6.220000000000000000e+02 0.000000000000000000e+00 2.140000000000000000e+02
6.741423791323480145e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.150000000000000000e+02
6.741980027178729870e+03 6.220000000000000000e+02 0.000000000000000000e+00 2.160000000000000000e+02
6.742536236934610315e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.170000000000000000e+02
6.743092420555290119e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.180000000000000000e+02
6.743648578004949741e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.190000000000000000e+02
6.744204709247729625e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.200000000000000000e+02
6.744760814247820235e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.210000000000000000e+02
6.745316892969380206e+03 6.235000000000000000e+02 0.000000000000000000e+00 2.220000000000000000e+02
6.745872945376569987e+03 6.285000000000000000e+02 0.000000000000000000e+00 2.230000000000000000e+02
6.746428971433580045e+03 6.400000000000000000e+02 0.000000000000000000e+00 2.240000000000000000e+02
6.746984971104559918e+03 6.415000000000000000e+02 0.000000000000000000e+00 2.250000000000000000e+02
6.747540944353680061e+03 6.360000000000000000e+02 0.000000000000000000e+00 2.260000000000000000e+02
6.748096891145110021e+03 6.310000000000000000e+02 0.000000000000000000e+00 2.270000000000000000e+02
6.748652811443030259e+03 6.280000000000000000e+02 0.000000000000000000e+00 2.280000000000000000e+02
6.749208705211580309e+03 6.240000000000000000e+02 0.000000000000000000e+00 2.290000000000000000e+02
6.749764572414959730e+03 6.230000000000000000e+02 0.000000000000000000e+00 2.300000000000000000e+02
6.750320413017309875e+03 6.220000000000000000e+02 0.000000000000000000e+00 2.310000000000000000e+02
6.750876226982820299e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.320000000000000000e+02
6.751432014275639631e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.330000000000000000e+02
6.751987774859950150e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.340000000000000000e+02
6.752543508699909580e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.350000000000000000e+02
6.753099215759690196e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.360000000000000000e+02
6.753654896003469730e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.370000000000000000e+02
6.754210549395400449e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.380000000000000000e+02
6.754766175899650079e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.390000000000000000e+02
6.755321775480399992e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.400000000000000000e+02
6.755877348101809730e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.410000000000000000e+02
6.756432893728049748e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.420000000000000000e+02
6.756988412323279590e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.430000000000000000e+02
6.757543903851689720e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.440000000000000000e+02
6.758099368277419671e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.450000000000000000e+02
6.758654805564649905e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.460000000000000000e+02
6.759210215677549968e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.470000000000000000e+02
6.759765598580290316e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.480000000000000000e+02
6.760320954237029582e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.490000000000000000e+02
6.760876282611940042e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.500000000000000000e+02
6.761431583669200336e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.510000000000000000e+02
6.761986857372960003e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.520000000000000000e+02
6.762542103687400413e+03 6.215000000000000000e+02 0.000000000000000000e+00 2.530000000000000000e+02
6.763097322576680199e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.540000000000000000e+02
6.763652514004969817e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.550000000000000000e+02
6.764207677936439723e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.560000000000000000e+02
